User Reward Progress V1 Campaign ID,User Reward Progress V1 Fp Amount,User Reward Progress V1 Reward Type,User Reward Progress V1 Shop Item ID,User Reward Progress V1 Status,User Reward Progress V1 Total Events,User Reward Progress V1 Total Unique Users
6978951588d3595e56b6783d,0,unknown,,EXPIRED,"2,273","2,229"
6978951588d3595e56b6783d,0,unknown,,COMPLETED,"2,124","2,069"
6978954a8bc18e02af3cb932,0,unknown,,COMPLETED,"1,564","1,493"
6978954a8bc18e02af3cb932,0,shop_item,697b4e940f8e5781e4e2ef58,IN_PROGRESS,"1,508","1,507"
6978954a8bc18e02af3cb932,0,unknown,,EXPIRED,"1,572","1,554"
6978954a8bc18e02af3cb932,0,shop_item,697b4d3363a4d5c0bc82da7d,IN_PROGRESS,"1,629","1,629"
6978954a8bc18e02af3cb932,0,unknown,,CLAIMED,"1,583","1,512"
6978957888d3595e56b6783e,0,shop_item,697b4e940f8e5781e4e2ef58,IN_PROGRESS,207,207
6978957888d3595e56b6783e,0,unknown,,EXPIRED,"81,910","44,493"
6978957888d3595e56b6783e,0,unknown,,COMPLETED,"1,190",969
6978957888d3595e56b6783e,0,unknown,,CLAIMED,"1,194",973
6978957888d3595e56b6783e,0,shop_item,697b4d9e4a8b2b983c4cd702,IN_PROGRESS,"44,516","44,516"
6978957888d3595e56b6783e,0,shop_item,697b4df763a4d5c0bc82da7f,IN_PROGRESS,"38,358","38,358"
697895ad9cdcb10e9c74577f,0,unknown,,CLAIMED,"3,654","3,590"
697895ad9cdcb10e9c74577f,0,shop_item,697b4df763a4d5c0bc82da7f,IN_PROGRESS,"3,588","3,588"
697895ad9cdcb10e9c74577f,0,shop_item,697b4d3363a4d5c0bc82da7d,FAILED,1,1
697895ad9cdcb10e9c74577f,0,shop_item,697b4e940f8e5781e4e2ef58,IN_PROGRESS,57,57
697895ad9cdcb10e9c74577f,0,unknown,,COMPLETED,"3,608","3,544"
697895ad9cdcb10e9c74577f,0,unknown,,EXPIRED,"3,945","3,896"
697895ad9cdcb10e9c74577f,0,shop_item,697b4d3363a4d5c0bc82da7d,IN_PROGRESS,"3,908","3,908"
697895df9cdcb10e9c745780,0,unknown,,COMPLETED,"2,017","1,954"
697895df9cdcb10e9c745780,0,shop_item,697b4d3363a4d5c0bc82da7d,IN_PROGRESS,"2,174","2,174"
697895df9cdcb10e9c745780,0,shop_item,697b4e940f8e5781e4e2ef58,IN_PROGRESS,"2,000","1,999"
697895df9cdcb10e9c745780,0,unknown,,EXPIRED,"2,156","2,109"
697895df9cdcb10e9c745780,0,unknown,,CLAIMED,"2,064","2,000"
69a989878b5fcff0aab25396,0,shop_item,69ae6826cf9cd385db77b26c,IN_PROGRESS,"35,232","35,232"
69a989878b5fcff0aab25396,"1,000",faceit_points,,IN_PROGRESS,"35,232","35,232"
69a989878b5fcff0aab25396,0,shop_item,69ae6826cf9cd385db77b26c,EXPIRED,"21,164","19,717"
69a989878b5fcff0aab25396,0,shop_item,69ae6896cf9cd385db77b26e,IN_PROGRESS,398,398
69a989878b5fcff0aab25396,0,shop_item,69aae1442fd9bd4bb66e5381,EXPIRED,"23,896","22,088"
69a989878b5fcff0aab25396,0,shop_item,69aae1442fd9bd4bb66e5381,FAILED,19,2
69a989878b5fcff0aab25396,0,shop_item,69ae66d363cb5c3e126c7ef8,IN_PROGRESS,"29,201","29,195"
69a989878b5fcff0aab25396,0,shop_item,69ae6939cf9cd385db77b271,EXPIRED,"23,623","21,858"
69a989878b5fcff0aab25396,0,unknown,,CLAIMED,502,445
69a989878b5fcff0aab25396,"1,000",faceit_points,,COMPLETED,"1,464","1,458"
69a989878b5fcff0aab25396,0,shop_item,69ae6939cf9cd385db77b271,AVAILABLE,"7,457","7,457"
69a989878b5fcff0aab25396,"1,000",faceit_points,,EXPIRED,"4,746","4,685"
69a989878b5fcff0aab25396,"5,000",faceit_points,,COMPLETED,28,27
69a989878b5fcff0aab25396,0,shop_item,69ae6826cf9cd385db77b26c,AVAILABLE,"7,457","7,457"
69a989878b5fcff0aab25396,0,shop_item,69ae6939cf9cd385db77b271,IN_PROGRESS,"35,232","35,232"
69a989878b5fcff0aab25396,"1,000",faceit_points,,AVAILABLE,"7,457","7,457"
69a989878b5fcff0aab25396,"5,000",faceit_points,,IN_PROGRESS,"35,232","35,232"
69a989878b5fcff0aab25396,"5,000",faceit_points,,EXPIRED,"22,967","21,293"
69a989878b5fcff0aab25396,0,shop_item,69aae1442fd9bd4bb66e5381,AVAILABLE,"7,457","7,457"
69a989878b5fcff0aab25396,0,unknown,,COMPLETED,505,448
69a989878b5fcff0aab25396,"5,000",faceit_points,,AVAILABLE,"7,457","7,457"
69a989878b5fcff0aab25396,0,shop_item,69aae1442fd9bd4bb66e5381,IN_PROGRESS,"35,232","35,232"
69a98a03c9826d9e405f19c7,0,unknown,,CLAIMED,"4,235","4,208"
69a98a03c9826d9e405f19c7,0,shop_item,69ae65b763cb5c3e126c7ef4,IN_PROGRESS,"4,787","4,787"
69a98a03c9826d9e405f19c7,0,shop_item,69ae6939cf9cd385db77b271,IN_PROGRESS,"4,194","4,194"
