Country,Date,Total impressions,Total revenue,Total average eCPM,Total fill rate
Hong Kong,2026-04-08,119,$0.02 ,$0.17 ,3.15%
Romania,2026-03-31,119,$0.06 ,$0.52 ,3.45%
Peru,2026-04-06,118,$0.01 ,$0.06 ,10.15%
Romania,2026-04-05,118,$0.02 ,$0.17 ,2.76%
Switzerland,2026-03-30,118,$0.02 ,$0.18 ,12.97%
Denmark,2026-04-08,117,$0.01 ,$0.11 ,4.23%
Czechia,2026-04-01,115,$0.04 ,$0.38 ,4.03%
Peru,2026-04-02,115,$0.01 ,$0.05 ,9.50%
Hungary,2026-04-01,114,$0.04 ,$0.31 ,6.03%
Hungary,2026-04-02,114,$0.03 ,$0.25 ,7.15%
Turkiye,2026-04-07,114,$0.01 ,$0.06 ,1.15%
Romania,2026-04-04,113,$0.04 ,$0.33 ,2.86%
Czechia,2026-03-31,110,$0.04 ,$0.38 ,3.15%
Ukraine,2026-04-01,110,$0.01 ,$0.13 ,0.79%
Uzbekistan,2026-04-02,108,$0.03 ,$0.29 ,10.91%
Denmark,2026-04-05,107,$0.03 ,$0.24 ,4.12%
Taiwan,2026-04-07,107,$0.01 ,$0.11 ,1.62%
Mexico,2026-04-03,101,$0.05 ,$0.50 ,30.06%
Austria,2026-04-02,100,$0.01 ,$0.10 ,8.79%
Mexico,2026-04-04,100,$0.05 ,$0.46 ,17.48%
Hungary,2026-04-03,99,$0.01 ,$0.07 ,4.83%
Peru,2026-04-07,98,$0.00 ,$0.03 ,10.07%
Singapore,2026-04-07,98,$0.02 ,$0.16 ,1.12%
Chile,2026-03-30,97,$0.03 ,$0.33 ,12.76%
Taiwan,2026-04-01,97,$0.01 ,$0.13 ,1.66%
Slovakia,2026-03-31,94,$0.03 ,$0.32 ,5.98%
Austria,2026-04-03,92,$0.01 ,$0.08 ,6.66%
Estonia,2026-04-05,89,$0.02 ,$0.23 ,6.51%
Ukraine,2026-04-06,88,$0.01 ,$0.13 ,0.83%
Chile,2026-04-01,87,$0.03 ,$0.36 ,8.71%
Switzerland,2026-04-07,87,$0.00 ,$0.05 ,11.33%
Chile,2026-04-03,86,$0.02 ,$0.29 ,7.00%
Greece,2026-04-04,86,$0.02 ,$0.28 ,14.41%
Austria,2026-04-07,85,$0.01 ,$0.08 ,3.59%
Kazakhstan,2026-04-05,85,$0.02 ,$0.26 ,2.64%
Chile,2026-04-04,84,$0.03 ,$0.31 ,7.81%
Slovakia,2026-04-01,84,$0.04 ,$0.44 ,4.47%
Kazakhstan,2026-03-30,83,$0.01 ,$0.17 ,3.23%
Mexico,2026-04-02,83,$0.04 ,$0.47 ,18.65%
Austria,2026-04-08,82,$0.00 ,$0.05 ,4.37%
Hungary,2026-04-04,82,$0.01 ,$0.15 ,5.68%
Vietnam,2026-04-06,82,$0.01 ,$0.08 ,2.87%
Austria,2026-04-04,81,$0.00 ,$0.05 ,5.10%
Philippines,2026-03-31,81,$0.00 ,$0.00 ,14.49%
Slovakia,2026-04-05,81,$0.01 ,$0.09 ,3.12%
Ukraine,2026-04-08,81,$0.01 ,$0.12 ,0.61%
Chile,2026-04-05,80,$0.03 ,$0.35 ,7.60%
Malaysia,2026-04-01,80,$0.01 ,$0.08 ,5.29%
Singapore,2026-03-30,80,$0.01 ,$0.18 ,5.15%
Singapore,2026-04-02,80,$0.01 ,$0.15 ,2.76%
Chile,2026-03-31,79,$0.03 ,$0.32 ,11.43%
Kazakhstan,2026-04-02,79,$0.01 ,$0.17 ,3.30%
Switzerland,2026-04-05,79,$0.01 ,$0.17 ,8.14%
Belgium,2026-04-08,78,$0.02 ,$0.31 ,7.68%
Kazakhstan,2026-04-07,78,$0.01 ,$0.15 ,3.23%
Austria,2026-04-06,77,$0.01 ,$0.09 ,5.56%
Slovakia,2026-04-02,77,$0.04 ,$0.46 ,3.57%
