Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Cores,Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Device Name
acer,amd ryzen 5 4600h with radeon graphics         ,12,steelseries aps,keyboard
acer,amd ryzen 5 5625u with radeon graphics         ,12,compx,mouse
acer,intel(r) core(tm) i7-9750h cpu @ 2.60ghz,12,sonix,mouse
acer,13th gen intel(r) core(tm) i5-13420h,12,bycx,mouse
acer,13th gen intel(r) core(tm) i7-13700hx,24,yichip,keyboard
acer,amd ryzen 7 4800h with radeon graphics         ,16,,keyboard
acer,12th gen intel(r) core(tm) i5-12500h,8,sonix,keyboard
acer,intel(r) core(tm) i9-14900hx,32,(стандартные системные устройства),mouse
acer,12th gen intel(r) core(tm) i5-12450h,12,royuan,mouse
acer,13th gen intel(r) core(tm) i7-13700hx,24,(standart sistem aygıtları),keyboard
acer,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,logitech,keyboard
acer,13th gen intel(r) core(tm) i9-13900h,20,da tech,keyboard
acer,amd ryzen ai 9 365 w/ radeon 880m              ,20,microsoft,keyboard
acer,12th gen intel(r) core(tm) i5-12400f,12,steelseries aps,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16,e-signal,mouse
acer,12th gen intel(r) core(tm) i7-12700h,20,microsoft,mouse
acer,amd ryzen 5 5500u with radeon graphics         ,12,lenovo,mouse
acer,12th gen intel(r) core(tm) i5-12450h,12,instant,keyboard
acer,intel(r) core(tm) i7-7700hq cpu @ 2.80ghz,8,darmoshark,keyboard
acer,13th gen intel(r) core(tm) i7-13700hx,24,sdinnovation,mouse
acer,intel(r) core(tm) i5-10300h cpu @ 2.50ghz,8,bycx,mouse
acer,12th gen intel(r) core(tm) i7-12700h,20,wings tech,keyboard
acer,12th gen intel(r) core(tm) i5-12400f,12,,mouse
acer,intel(r) core(tm) i5-1035g1 cpu @ 1.00ghz,8,zxwmicrochip,keyboard
acer,intel(r) core(tm) i5-8300h cpu @ 2.30ghz,8,kingston,keyboard
acer,intel(r) core(tm) i7-14700hx,28,shinetek technology,mouse
acer,intel(r) core(tm) i9-14900hx,32,by tech,mouse
acer,13th gen intel(r) core(tm) i5-13420h,12,e-signal,mouse
acer,12th gen intel(r) core(tm) i7-12700f,20,corsair,keyboard
acer,intel(r) core(tm) i7-10750h cpu @ 2.60ghz,12,steelseries,keyboard
acer,amd ryzen 5 5600h with radeon graphics         ,12, ,mouse
acer,amd ryzen 7 6800h with radeon graphics         ,16,semico  ,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16, ,keyboard
acer,11th gen intel(r) core(tm) i7-11700f @ 2.50ghz,16,sonix,keyboard
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12,pixart,mouse
acer,intel(r) core(tm) i7-14700hx,28,htltek,keyboard
acer,13th gen intel(r) core(tm) i5-13420h,12,hp,mouse
acer,12th gen intel(r) core(tm) i7-12650h,16,microsoft,mouse
acer,intel(r) core(tm) i5-9300h cpu @ 2.40ghz,8,hangsheng,keyboard
acer,intel(r) core(tm) i5-10300h cpu @ 2.50ghz,8,microsoft,mouse
acer,intel(r) core(tm) i7-4710hq cpu @ 2.50ghz,8,sinowealth,keyboard
acer,intel(r) core(tm) i7-10870h cpu @ 2.20ghz,16,logitech,keyboard
acer,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,razer,keyboard
acer,13th gen intel(r) core(tm) i9-13900hx,32,steelseries aps,mouse
acer,12th gen intel(r) core(tm) i5-12500h,12,by tech,mouse
acer,intel(r) core(tm) i5-14450hx,16,e-signal,mouse
acer,12th gen intel(r) core(tm) i7-12700f,20,"hp, inc",keyboard
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12,by tech,keyboard
acer,intel(r) core(tm) i7-4710hq cpu @ 2.50ghz,8,sinowealth,mouse
acer,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,asustek,keyboard
acer,13th gen intel(r) core(tm) i7-13700f,24,steelseries aps,mouse
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12,by tech,mouse
acer,amd ryzen 5 6600h with radeon graphics         ,12,compx,mouse
acer,intel(r) core(tm) i5-8300h cpu @ 2.30ghz,8,evision,keyboard
acer,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,usb keyboard,keyboard
acer,13th gen intel(r) core(tm) i7-13700hx,24,compx,keyboard
acer,intel(r) core(tm) i5-8300h cpu @ 2.30ghz,8,semico,keyboard
acer,12th gen intel(r) core(tm) i9-12900h,20,by tech,mouse
acer,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,,keyboard
acer,amd ryzen 7 7840hs w/ radeon 780m graphics     ,16,sonix,keyboard
acer,11th gen intel(r) core(tm) i5-1135g7 @ 2.40ghz,8,sinowealth,mouse
acer,intel(r) core(tm) i5-10210u cpu @ 1.60ghz,8,microsoft,mouse
acer,intel(r) core(tm) i9-14900hx,32,,keyboard
acer,amd ryzen 7 8845hs w/ radeon 780m graphics     ,16,razer,keyboard
acer,13th gen intel(r) core(tm) i7-13620h,16,,keyboard
acer,11th gen intel(r) core(tm) i5-1135g7 @ 2.40ghz,8,sinowealth,keyboard
acer,13th gen intel(r) core(tm) i7-13620h,16,microsoft,mouse
acer,12th gen intel(r) core(tm) i7-12700h,20,spark,mouse
acer,intel(r) core(tm) i5-10210u cpu @ 1.60ghz,8,(standart sistem aygıtları),keyboard
acer,12th gen intel(r) core(tm) i5-12500h,16,endgamegear,mouse
acer,intel(r) core(tm) i5-10210u cpu @ 1.60ghz,8,(standart sistem aygıtları),mouse
acer,amd ryzen 7 7735hs with radeon graphics        ,16,      ,mouse
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12, ,keyboard
acer,amd ryzen 5 6600h with radeon graphics         ,12,by tech,keyboard
acer,amd ryzen 7 7840hs w/ radeon 780m graphics     ,16,sino wealth,mouse
acer,amd ryzen 7 7840hs w/ radeon 780m graphics     ,16,      ,keyboard
acer,intel(r) core(tm) i5-10300h cpu @ 2.50ghz,8,yspringtech,mouse
acer,amd ryzen 7 7735hs with radeon graphics        ,16,e-signal,keyboard
acer,amd ryzen 7 7840hs w/ radeon 780m graphics     ,16,      ,mouse
acer,amd ryzen 7 7840hs w/ radeon 780m graphics     ,16,"shenzhen yizhita technology co., ltd",mouse
acer,amd ryzen 7 6800h with radeon graphics         ,16,microsoft,mouse
acer,12th gen intel(r) core(tm) i5-12450h,12,xinshu,keyboard
acer,13th gen intel(r) core(tm) i9-13900hx,32,(standard system devices),mouse
acer,amd ryzen 7 7735hs with radeon graphics        ,16,corsair,mouse
acer,intel(r) core(tm) i5-10300h cpu @ 2.50ghz,8,pixart,mouse
acer,12th gen intel(r) core(tm) i5-12500h,16,corsair,mouse
acer,13th gen intel(r) core(tm) i9-13900h,20,pixart,keyboard
acer,12th gen intel(r) core(tm) i7-12700h,20,steelseries aps,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16,sino wealth,mouse
acer,12th gen intel(r) core(tm) i7-12700h,20,semico,keyboard
acer,amd ryzen 5 3550h with radeon vega mobile gfx  ,8,instant,mouse
acer,13th gen intel(r) core(tm) i5-13500hx,20,e-signal,mouse
acer,12th gen intel(r) core(tm) i5-12500h,16,sonix,keyboard
acer,13th gen intel(r) core(tm) i7-13620h,16,razer,mouse
acer,intel(r) core(tm) i5-10300h cpu @ 2.50ghz,8,compx,mouse
acer,amd ryzen 7 5800h with radeon graphics         ,16,,mouse
acer,12th gen intel(r) core(tm) i5-12500h,16,      ,keyboard
acer,11th gen intel(r) core(tm) i7-11800h @ 2.30ghz,16,evision,mouse
acer,intel(r) core(tm) i7-7700hq cpu @ 2.80ghz,8,usb keyboard,keyboard
acer,amd ryzen 7 5800h with radeon graphics         ,16,a4tech,mouse
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12,evision,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16,,keyboard
acer,amd ryzen 7 7840hs w/ radeon 780m graphics     ,16,kingsis peripherals,mouse
acer,amd ryzen 7 5800h with radeon graphics         ,16,a4tech,keyboard
acer,intel(r) core(tm) i7-7700hq cpu @ 2.80ghz,8,razer,mouse
acer,intel(r) core(tm) i7-14650hx,24,razer,keyboard
acer,amd ryzen 7 5800h with radeon graphics         ,16,kingston,keyboard
acer,intel(r) core(tm) i7-14650hx,24, ,mouse
acer,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,razer,mouse
acer,amd ryzen 5 5600h with radeon graphics         ,12,steelseries,keyboard
acer,12th gen intel(r) core(tm) i7-12700f,20,instant,mouse
acer,13th gen intel(r) core(tm) i5-13420h,12,      ,mouse
acer,12th gen intel(r) core(tm) i7-12650h,16,(standart sistem aygıtları),keyboard
acer,amd ryzen 5 5500u with radeon graphics         ,12,,keyboard
acer,amd ryzen 5 240 w/ radeon 760m graphics        ,12,logitech,mouse
acer,amd ryzen 5 6600h with radeon graphics         ,12,razer,mouse
acer,11th gen intel(r) core(tm) i7-11800h @ 2.30ghz,16,evision,keyboard
acer,amd ryzen 5 7535hs with radeon graphics        ,12,steelseries,keyboard
acer,amd ryzen 7 8845hs w/ radeon 780m graphics,16,logitech,keyboard
acer,amd ryzen 7 7735hs with radeon graphics        ,16,sigmachip,keyboard
acer,12th gen intel(r) core(tm) i5-12450h,12,steelseries aps,keyboard
acer,amd ryzen 7 260 w/ radeon 780m graphics        ,16,microsoft,mouse
acer,amd ryzen 5 5600h with radeon graphics         ,12,steelseries aps,keyboard
acer,amd ryzen 7 7840hs w/ radeon 780m graphics     ,16,logitech,keyboard
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12,sigmachip,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16,compx,mouse
acer,13th gen intel(r) core(tm) i5-13420h,12,a4tech,keyboard
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12,company ,keyboard
acer,12th gen intel(r) core(tm) i5-12500h,16,(standart sistem aygıtları),keyboard
acer,12th gen intel(r) core(tm) i9-12900h,20,sonix,keyboard
acer,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,gaming kb,keyboard
acer,12th gen intel(r) core(tm) i9-12900h,20,microsoft,mouse
acer,intel(r) core(tm) i5-10300h cpu @ 2.50ghz,8,logitech,keyboard
